timestamps population node_ids
1724.5 v1 99579
2154.75 v1 99579
2713.0 v1 99579
305.0 v1 99603
1586.75 v1 99629
1367.75 v1 99669
1625.75 v1 99669
2469.0 v1 99669
261.0 v1 99733
2007.75 v1 99733
2709.25 v1 99733
954.0 v1 99803
2744.0 v1 99803
1369.5 v1 99902
403.25 v1 99983
1253.25 v1 99983
110.0 v1 100138
383.25 v1 100138
663.0 v1 100138
1129.0 v1 100138
1379.25 v1 100138
1792.75 v1 100138
1942.75 v1 100138
2214.25 v1 100138
2673.5 v1 100138
1776.25 v1 100172
2009.5 v1 100172
2857.25 v1 100172
541.5 v1 100199
1751.0 v1 100199
2555.0 v1 100199
1244.75 v1 100228
1060.25 v1 100258
2218.75 v1 100258
328.5 v1 100289
2317.25 v1 100317
1159.0 v1 100352
1795.25 v1 100352
2217.25 v1 100352
2762.5 v1 100352
2935.25 v1 100352
625.25 v1 100376
1994.25 v1 100376
2912.25 v1 100376
2876.25 v1 100465
393.5 v1 100499
2303.25 v1 100499
573.5 v1 100520
1979.25 v1 100520
2940.5 v1 100520
1471.75 v1 100547
2627.0 v1 100547
931.75 v1 100594
1868.25 v1 100615
98.75 v1 100675
746.25 v1 100722
999.0 v1 100722
1765.0 v1 100722
2350.0 v1 100722
299.0 v1 100751
576.5 v1 100751
1045.0 v1 100751
1741.5 v1 100751
2023.25 v1 100751
2626.75 v1 100751
107.0 v1 100786
1995.25 v1 100786
1312.75 v1 100843
1375.5 v1 100871
742.75 v1 100895
722.0 v1 100925
1171.25 v1 100925
1300.0 v1 100982
1802.25 v1 100982
2473.5 v1 100982
2843.75 v1 100982
1978.75 v1 101106
2741.0 v1 101106
428.75 v1 101134
198.0 v1 101160
489.0 v1 101160
2085.5 v1 101160
2339.25 v1 101160
2648.0 v1 101160
122.75 v1 101190
321.0 v1 101190
616.5 v1 101190
843.0 v1 101190
1220.0 v1 101190
1319.75 v1 101190
1671.5 v1 101190
1905.5 v1 101190
2119.75 v1 101190
2253.75 v1 101190
2535.75 v1 101190
2922.75 v1 101190
817.75 v1 87530
1596.5 v1 87709
2093.25 v1 87757
2229.75 v1 87927
224.75 v1 87972
2810.25 v1 88056
1232.25 v1 88119
1149.5 v1 88202
1761.0 v1 88202
540.0 v1 88272
1289.0 v1 88272
1856.25 v1 88272
2452.25 v1 88272
2339.0 v1 88554
716.25 v1 88641
872.75 v1 88641
1249.5 v1 88641
1660.5 v1 88641
2258.75 v1 88641
2977.25 v1 88641
2155.0 v1 88685
1198.0 v1 88720
541.75 v1 89003
878.75 v1 89003
1671.5 v1 89003
2087.25 v1 89003
443.25 v1 89056
881.0 v1 89056
1069.75 v1 89056
2903.5 v1 89056
2246.0 v1 89157
1575.25 v1 89189
2100.5 v1 89240
2521.75 v1 89240
1092.25 v1 89539
724.5 v1 89568
2594.0 v1 89568
236.75 v1 89882
1247.75 v1 89882
1167.0 v1 90006
231.0 v1 90147
565.25 v1 90147
946.25 v1 90147
1494.0 v1 90147
1705.0 v1 90147
1947.25 v1 90147
2254.5 v1 90147
2549.5 v1 90147
2653.5 v1 90147
321.5 v1 90588
936.75 v1 90588
2662.25 v1 90588
2433.5 v1 90813
1876.0 v1 90865
2008.0 v1 90865
1349.75 v1 90943
411.75 v1 91266
826.0 v1 91266
860.75 v1 91266
1049.25 v1 91266
1628.0 v1 91266
1908.5 v1 91266
1632.75 v1 91293
962.5 v1 91370
502.5 v1 91421
645.75 v1 91421
1068.0 v1 91421
2172.25 v1 91421
970.75 v1 91477
1611.0 v1 91477
2249.25 v1 91477
375.0 v1 91695
2335.5 v1 91695
646.0 v1 91877
817.25 v1 92064
2415.5 v1 92117
349.5 v1 92214
1004.25 v1 92214
2090.0 v1 92214
2581.25 v1 92214
2935.25 v1 92214
2671.5 v1 92339
698.75 v1 92588
1205.5 v1 92588
1292.25 v1 92588
1504.75 v1 92588
1578.5 v1 92588
1683.25 v1 92588
1861.0 v1 92588
2313.25 v1 92588
1508.25 v1 92718
1596.5 v1 92844
1987.75 v1 92844
1042.75 v1 92908
1907.5 v1 92908
2309.0 v1 92908
2454.25 v1 92936
831.5 v1 93094
1227.0 v1 93094
1723.75 v1 93094
2060.5 v1 93094
2701.75 v1 93094
2599.25 v1 93243
2191.0 v1 93424
1044.25 v1 93520
1300.25 v1 93520
2751.75 v1 93520
629.0 v1 93592
2428.75 v1 93592
2761.25 v1 93592
2911.75 v1 93592
101.5 v1 93767
123.25 v1 93767
358.75 v1 93767
2149.5 v1 93767
603.5 v1 93800
2600.25 v1 93800
2144.25 v1 93914
1718.0 v1 94068
2000.25 v1 94068
484.0 v1 94197
1049.0 v1 94229
1686.5 v1 94277
2071.0 v1 94277
1347.25 v1 94445
1191.5 v1 94624
220.5 v1 94653
879.0 v1 94653
1587.75 v1 94653
2962.5 v1 94695
320.5 v1 94778
815.0 v1 94959
834.75 v1 95117
936.5 v1 95238
1119.0 v1 95453
2299.0 v1 95453
869.0 v1 95540
1155.75 v1 95568
2023.25 v1 95632
2373.0 v1 95713
2681.5 v1 95780
2963.25 v1 95916
893.25 v1 96057
1100.5 v1 96057
1820.75 v1 96057
427.0 v1 96090
1238.0 v1 96090
302.0 v1 96172
1093.5 v1 96172
1220.75 v1 96172
1723.5 v1 96172
1289.25 v1 96310
2595.75 v1 96444
975.25 v1 96545
1434.5 v1 96621
218.25 v1 96680
1266.5 v1 96680
137.5 v1 96750
1171.25 v1 96869
1933.75 v1 96869
789.5 v1 97035
1158.5 v1 97387
1239.25 v1 97387
1354.75 v1 97387
1764.25 v1 97387
2559.75 v1 97387
2821.25 v1 97387
206.25 v1 97508
1835.5 v1 97508
2703.25 v1 97508
404.25 v1 97536
